"Општина","2005 Земјоделска површина","2005 Вкупна обработлива површина","2005 Ораници и бавчи","2005 Овоштарници","2005 Лозја","2005 Ливади","2005 Пасишта","2006 Земјоделска површина","2006 Вкупна обработлива површина","2006 Ораници и бавчи","2006 Овоштарници","2006 Лозја","2006 Ливади","2006 Пасишта","2007 Земјоделска површина","2007 Вкупна обработлива површина","2007 Ораници и бавчи","2007 Овоштарници","2007 Лозја","2007 Ливади","2007 Пасишта","2008 Земјоделска површина","2008 Вкупна обработлива површина","2008 Ораници и бавчи","2008 Овоштарници","2008 Лозја","2008 Ливади","2008 Пасишта","2009 Земјоделска површина","2009 Вкупна обработлива површина","2009 Ораници и бавчи","2009 Овоштарници","2009 Лозја","2009 Ливади","2009 Пасишта","2010 Земјоделска површина","2010 Вкупна обработлива површина","2010 Ораници и бавчи","2010 Овоштарници","2010 Лозја","2010 Ливади","2010 Пасишта","2011 Земјоделска површина","2011 Вкупна обработлива површина","2011 Ораници и бавчи","2011 Овоштарници","2011 Лозја","2011 Ливади","2011 Пасишта","2012 Земјоделска површина","2012 Вкупна обработлива површина","2012 Ораници и бавчи","2012 Овоштарници","2012 Лозја","2012 Ливади","2012 Пасишта","2013 Земјоделска површина","2013 Вкупна обработлива површина","2013 Ораници и бавчи","2013 Овоштарници","2013 Лозја","2013 Ливади","2013 Пасишта"
"Куманово",90913,30689,28506,389,1108,686,60215,90804,29987,27876,325,1070,716,60811,63610,27535,25604,317,884,730,36072,62072,25907,24037,295,845,730,36162,27629,25408,23507,294,877,730,2218,64480,25391,23490,294,877,730,39086,65679,26495,24610,291,889,705,39181,81309,27213,25412,285,772,744,54093,80836,26753,24924,284,814,731,54080
"Липково",7742,7092,6384,102,160,446,650,7440,6913,6251,59,157,446,527,7437,6905,6247,59,153,446,532,7438,6898,6240,58,153,447,540,7400,6894,6240,59,148,447,506,7400,6894,6240,59,148,447,506,7405,6899,6240,59,153,447,506,7414,6898,6246,53,153,446,516,7414,6898,6246,53,153,446,516
"Лозово",8518,8369,7819,-,396,154,149,8618,8469,7874,9,436,150,149,8397,8248,7850,-,244,154,149,6796,6647,6167,5,321,154,149,6985,6836,6356,5,321,154,149,7198,7049,6474,5,416,154,149,7190,7041,6401,-,486,154,149,7228,7079,6410,29,486,154,149,2229,2080,1834,6,86,154,149
"Маврово и Ростуша",3577,1959,375,57,-,1527,1618,3726,2106,298,61,-,1747,1620,14493,1915,794,61,-,1060,12578,16566,3153,794,61,-,2298,13413,14869,1456,254,61,-,1141,13413,14877,1477,254,61,-,1162,13400,17769,3156,226,62,-,2868,14613,18536,3156,226,62,-,2868,15380,18030,2650,221,61,-,2368,15380
"Македонска Каменица",4704,3528,3159,117,-,252,1176,5124,3590,3160,125,-,305,1534,4705,3529,3159,117,-,253,1176,4705,3529,3159,117,-,253,1176,4705,3529,3159,117,-,253,1176,4870,3582,3159,121,-,302,1288,4874,3586,3159,124,1,302,1288,4706,3530,3159,117,1,253,1176,4705,3529,3158,117,1,253,1176
"Македонски Брод",21896,5471,4631,143,-,697,16425,22507,6021,5060,216,-,745,16473,22500,6014,5053,216,-,745,16486,22499,6013,5052,216,-,745,16486,22499,6013,5052,216,-,745,16486,22499,6013,5052,216,-,745,16486,22490,6013,5000,220,-,793,16477,22538,6010,5000,220,-,790,16528,22538,6010,5000,220,-,790,16528
"Могила",9108,8791,7729,16,52,994,317,9159,8925,7796,28,60,1041,234,9159,8927,7789,29,62,1047,232,9159,8927,7776,29,59,1063,232,9159,8927,7790,12,70,1055,232,9159,8927,7786,6,79,1056,232,9159,8927,7782,6,83,1056,232,9159,8927,7787,6,84,1050,232,9730,9498,8358,6,83,1051,232
"Неготино",9205,8140,5841,109,2133,57,925,8839,7964,5616,116,2175,57,875,8186,7143,5523,114,1449,57,875,7293,6418,4500,108,1753,57,875,10028,7961,6060,134,1743,24,2067,8063,7020,5149,116,1753,2,1043,7649,7411,5528,94,1787,2,238,25817,7436,5453,98,1883,2,18381,26897,7942,5047,316,2577,2,18955
"Новаци",10777,7820,7171,5,27,617,2954,10832,7838,7076,3,26,733,2988,10828,7832,7098,3,24,707,2990,10828,7832,7098,3,24,707,2990,10828,7824,7072,3,24,725,2998,10828,7824,7074,3,22,725,2998,10828,7824,7074,3,22,725,2998,10828,7824,7076,3,22,723,2998,11226,8222,7479,3,20,720,2998
"Ново Село",8034,5820,5253,34,68,465,2204,8499,5927,5353,52,68,454,2554,8540,5949,5376,54,70,449,2581,8526,5969,5386,57,75,451,2548,8650,6085,5479,69,82,455,2555,8483,5916,5499,71,82,264,2557,8707,6139,5516,73,92,458,2557,8593,6027,5409,87,83,448,2555,8652,6092,5462,93,89,448,2555
"Осломеј",3969,3364,2395,105,-,864,605,3785,3185,2287,104,-,794,600,3785,3185,2287,104,-,794,600,3785,3185,2287,104,-,794,600,3785,3185,2287,104,-,794,600,3785,3185,2287,104,-,794,600,3785,3185,2287,104,-,794,600,3785,3185,2287,104,-,794,600,3765,3165,2267,104,-,794,600
"Охрид",21980,6783,4722,461,552,1048,15177,20832,6721,5988,341,260,132,14091,22077,7211,6449,351,250,161,14847,22303,7435,6630,370,253,182,14848,17968,6634,5939,340,250,105,11330,17900,6569,5918,292,254,105,11330,17918,6588,5891,337,250,110,11330,28897,6584,5887,337,250,110,22313,28897,6584,5887,337,250,110,22313
"Петровец",4563,3985,3738,35,146,66,561,3535,2958,2704,34,154,66,563,3423,2851,2688,34,64,65,564,3664,3080,2869,34,116,61,578,3641,3053,2889,39,59,66,574,4607,3950,3657,37,186,70,641,4456,3838,3595,51,122,70,602,4878,4043,3745,46,164,88,625,4730,4095,3747,96,164,88,625
"Пехчево",5122,4685,2914,400,-,1371,437,5751,5294,3203,614,-,1477,456,11760,5269,3201,612,-,1456,6490,11665,5174,3106,612,-,1456,6490,11574,5116,3105,595,-,1416,6457,11998,5248,3031,580,-,1637,6750,12026,5275,2912,597,-,1766,6750,12027,5276,3027,585,-,1664,6750,11556,5101,3070,571,-,1460,6455
"Пласница",960,903,727,12,-,164,57,957,901,727,9,-,165,56,957,901,727,9,-,165,56,957,901,727,9,-,165,56,957,901,727,9,-,165,56,957,901,727,9,-,165,56,956,901,727,10,-,164,55,956,901,727,10,-,164,55,956,901,727,10,-,164,55
"Прилеп",80577,18851,16029,113,575,2134,61726,80419,19210,16592,102,562,1954,61209,80267,19047,16571,93,397,1986,61220,80087,18866,16411,92,392,1971,61221,81437,18293,15858,75,389,1971,63144,80993,17847,15481,72,328,1966,63146,80784,17632,15280,72,317,1963,63152,73332,17632,15292,72,310,1958,55700,73861,18155,15764,73,365,1953,55706
"Пробиштип",12864,8411,7530,120,264,497,4451,13350,8800,7900,95,277,528,4549,10743,8604,7647,139,278,540,2138,10064,7816,6846,141,276,553,2247,10624,8341,7350,149,270,572,2281,10045,7775,6806,113,266,590,2268,9384,6809,5962,156,174,517,2568,9368,6763,5955,151,177,480,2598,10092,7446,6578,205,181,482,2640
"Радовиш",28842,11489,9637,323,916,613,17352,33286,11187,9402,282,915,588,22097,32278,11219,9478,260,919,562,21058,32566,10615,9243,316,653,403,21949,32556,10648,9274,317,653,404,21907,32555,10746,9374,339,647,386,21808,32566,10718,9343,337,636,402,21847,43340,10516,9107,368,635,406,32823,42155,10434,9060,365,635,374,31720
"Ранковце",9901,7773,7045,101,12,615,2128,9950,7468,6822,-,8,638,2482,9239,7224,6447,-,5,772,2011,9315,7368,6457,100,3,808,1943,9310,7363,6447,100,2,814,1943,9217,7379,6447,3,2,927,1834,9244,7400,6425,3,2,970,1840,9238,7398,6425,3,1,969,1836,9245,7408,6400,16,1,991,1835
"Ресен",14331,11932,7681,2999,247,1005,2151,14243,11979,7661,3155,149,1014,2013,12510,11132,6843,3143,161,985,1126,12510,11118,6814,3169,153,982,1140,12510,11116,6790,3181,151,994,1142,12510,11116,6783,3193,147,993,1142,12510,11116,6775,3203,145,993,1142,14731,11185,6782,3270,142,991,3297,14717,11191,6793,3275,142,981,3277
"Росоман",3925,3758,2585,265,904,4,166,3947,3780,2597,276,903,4,165,3811,3726,2552,276,894,4,83,3715,3548,2359,283,902,4,165,3664,3505,2102,483,920,-,157,3216,3068,1874,273,921,-,146,3246,3096,1933,281,882,-,148,3296,3138,1944,282,912,-,156,3032,2963,1876,206,880,1,66
"Свети Николе",19851,18307,17208,48,538,513,1519,20581,19037,17916,75,542,504,1519,16377,14833,13729,69,551,484,1519,11936,10392,9292,58,558,484,1519,11640,10276,9165,75,482,554,1341,10195,8651,7635,35,506,475,1519,9986,8642,7620,45,502,475,1319,11776,10232,8926,73,644,589,1519,11832,10288,8936,58,709,585,1519
"Сопиште",3031,2479,2187,86,68,138,552,3048,2487,2192,85,68,142,561,3031,2470,2178,86,68,138,561,2988,2427,2183,34,68,142,561,2997,2426,2183,33,68,142,571,3000,2429,2183,33,68,145,571,3000,2429,2183,34,68,144,571,3000,2429,2183,34,68,144,571,3000,2429,2183,34,68,144,571
"Старо Нагоричане",20053,14755,11558,126,480,2591,5297,22065,14186,10764,197,581,2644,7878,21445,13662,10571,116,354,2621,7782,21467,13720,10631,121,354,2614,7746,21471,13723,10347,124,354,2898,7747,21482,13728,10178,128,354,3068,7753,21483,13696,10086,121,354,3135,7786,21476,13686,10062,124,352,3148,7789,21478,13688,10057,124,352,3155,7789
"Струга",22954,10059,8053,366,378,1262,12893,23043,10138,8185,471,102,1380,12903,23043,10138,8185,470,103,1380,12903,23043,10138,8185,470,103,1380,12903,23043,10138,8185,470,103,1380,12903,23043,10138,8185,470,103,1380,12903,23078,10173,8220,470,103,1380,12903,23066,10173,8220,470,103,1380,12891,23096,10203,8250,470,103,1380,12891
"Струмица",33127,8660,8097,126,151,286,24374,33185,8781,8224,119,151,287,24311,11105,9236,8658,123,151,304,1776,10365,8497,7976,105,132,284,1775,9065,8555,7997,116,150,292,417,10168,8304,7729,136,150,289,1771,10115,8251,7683,131,147,290,1771,23970,8448,7908,128,147,265,15429,24067,8650,8040,157,161,292,15417
"Студеничани",4661,4266,3528,105,47,586,395,4640,4239,3501,105,47,586,401,2971,2599,1878,94,47,580,372,4475,4107,3355,120,47,585,368,4474,4106,3508,116,47,435,368,4249,3879,3259,118,47,455,370,4304,3879,3259,123,62,435,425,4354,3959,3356,113,62,428,395,4354,3959,3356,113,62,428,395
"Теарце",3872,3645,2536,268,24,817,227,5032,4792,3328,120,24,1320,240,8824,4697,3328,120,24,1225,4127,8824,4697,3328,120,24,1225,4127,8824,4697,3328,120,24,1225,4127,8824,4697,3331,118,24,1224,4127,8956,4829,3328,118,24,1359,4127,9031,4863,3403,118,24,1318,4167,9125,4887,3364,118,24,1381,4237
"Тетово",36162,4723,3683,228,-,812,31439,37100,5677,4394,200,2,1081,31423,47095,6845,4508,200,2,2135,40250,47092,6855,4511,242,2,2100,40237,47073,6863,4663,251,2,1947,40210,46534,6978,4567,188,2,2221,39556,41535,6989,4587,187,2,2213,34546,44276,7047,4621,228,2,2196,37229,47262,7047,4651,197,2,2197,40215
"Центар Жупа",1439,979,770,33,-,176,460,1716,1168,832,71,-,265,548,1716,1168,832,71,-,265,548,1716,1168,832,71,-,265,548,1716,1168,832,71,-,265,548,1716,1168,832,71,-,265,548,1697,1147,817,70,-,260,550,1697,1147,817,70,-,260,550,1697,1147,817,70,-,260,550
"Чашка",10329,8339,7449,43,180,667,1990,8936,7455,6666,48,135,606,1481,8687,7305,6535,46,123,601,1382,8493,7208,6444,57,123,584,1285,7961,7200,6408,71,124,597,761,8100,7340,6546,70,124,600,760,9003,7449,6644,55,140,610,1554,8384,7001,6548,50,125,278,1383,7482,6842,6527,79,95,141,640
"Чешиново - Облешево",7348,6687,6426,88,78,95,655,7313,6586,6224,107,160,95,721,7325,6587,6226,103,165,93,731,7595,6873,6605,90,85,93,716,7099,6377,6047,117,125,88,716,7128,6401,6098,107,108,88,721,7181,6462,6198,100,81,83,713,7538,6818,6550,100,85,83,714,6927,6208,5909,142,82,75,713
"Чучер - Сандево",5704,4094,1575,19,439,2061,1610,6309,4709,1840,26,446,2397,1600,5998,4168,1783,42,445,1898,1830,6020,4190,1811,26,445,1908,1830,6242,4301,1822,23,415,2041,1941,6122,4214,1810,35,425,1944,1908,6122,4224,1818,35,425,1946,1898,6132,4234,1829,35,425,1945,1898,6122,4224,1823,35,425,1941,1898
"Штип",35486,8162,7638,70,334,120,27321,31998,8528,7928,77,354,169,23453,10287,9255,8606,128,397,124,1029,11557,10262,9390,145,608,119,1289,10348,9063,8379,152,413,119,1279,31020,8988,8276,153,442,117,22026,30377,8345,7621,153,454,117,22026,31767,8197,7482,143,455,117,23564,32420,8750,8067,179,391,113,23664
